alpha-2,alpha-3,region,sub-region
AF,AFG,Asia,Southern Asia
AX,ALA,Europe,Northern Europe
AL,ALB,Europe,Southern Europe
DZ,DZA,Africa,Northern Africa
AS,ASM,Oceania,Polynesia
AD,AND,Europe,Southern Europe
AO,AGO,Africa,Sub-Saharan Africa
AI,AIA,Americas,Latin America and the Caribbean
AQ,ATA,,
AG,ATG,Americas,Latin America and the Caribbean
AR,ARG,Americas,Latin America and the Caribbean
AM,ARM,Asia,Western Asia
AW,ABW,Americas,Latin America and the Caribbean
AU,AUS,Oceania,Australia and New Zealand
AT,AUT,Europe,Western Europe
AZ,AZE,Asia,Western Asia
BS,BHS,Americas,Latin America and the Caribbean
BH,BHR,Asia,Western Asia
BD,BGD,Asia,Southern Asia
BB,BRB,Americas,Latin America and the Caribbean
BY,BLR,Europe,Eastern Europe
BE,BEL,Europe,Western Europe
BZ,BLZ,Americas,Latin America and the Caribbean
BJ,BEN,Africa,Sub-Saharan Africa
BM,BMU,Americas,Northern America
BT,BTN,Asia,Southern Asia
BO,BOL,Americas,Latin America and the Caribbean
BQ,BES,Americas,Latin America and the Caribbean
BA,BIH,Europe,Southern Europe
BW,BWA,Africa,Sub-Saharan Africa
BV,BVT,Americas,Latin America and the Caribbean
BR,BRA,Americas,Latin America and the Caribbean
IO,IOT,Africa,Sub-Saharan Africa
BN,BRN,Asia,South-eastern Asia
BG,BGR,Europe,Eastern Europe
BF,BFA,Africa,Sub-Saharan Africa
BI,BDI,Africa,Sub-Saharan Africa
CV,CPV,Africa,Sub-Saharan Africa
KH,KHM,Asia,South-eastern Asia
CM,CMR,Africa,Sub-Saharan Africa
CA,CAN,Americas,Northern America
KY,CYM,Americas,Latin America and the Caribbean
CF,CAF,Africa,Sub-Saharan Africa
TD,TCD,Africa,Sub-Saharan Africa
CL,CHL,Americas,Latin America and the Caribbean
CN,CHN,Asia,Eastern Asia
CX,CXR,Oceania,Australia and New Zealand
CC,CCK,Oceania,Australia and New Zealand
CO,COL,Americas,Latin America and the Caribbean
KM,COM,Africa,Sub-Saharan Africa
CG,COG,Africa,Sub-Saharan Africa
CD,COD,Africa,Sub-Saharan Africa
CK,COK,Oceania,Polynesia
CR,CRI,Americas,Latin America and the Caribbean
CI,CIV,Africa,Sub-Saharan Africa
HR,HRV,Europe,Southern Europe
CU,CUB,Americas,Latin America and the Caribbean
CW,CUW,Americas,Latin America and the Caribbean
CY,CYP,Asia,Western Asia
CZ,CZE,Europe,Eastern Europe
DK,DNK,Europe,Northern Europe
DJ,DJI,Africa,Sub-Saharan Africa
DM,DMA,Americas,Latin America and the Caribbean
DO,DOM,Americas,Latin America and the Caribbean
EC,ECU,Americas,Latin America and the Caribbean
EG,EGY,Africa,Northern Africa
SV,SLV,Americas,Latin America and the Caribbean
GQ,GNQ,Africa,Sub-Saharan Africa
ER,ERI,Africa,Sub-Saharan Africa
EE,EST,Europe,Northern Europe
SZ,SWZ,Africa,Sub-Saharan Africa
ET,ETH,Africa,Sub-Saharan Africa
FK,FLK,Americas,Latin America and the Caribbean
FO,FRO,Europe,Northern Europe
FJ,FJI,Oceania,Melanesia
FI,FIN,Europe,Northern Europe
FR,FRA,Europe,Western Europe
GF,GUF,Americas,Latin America and the Caribbean
PF,PYF,Oceania,Polynesia
TF,ATF,Africa,Sub-Saharan Africa
GA,GAB,Africa,Sub-Saharan Africa
GM,GMB,Africa,Sub-Saharan Africa
GE,GEO,Asia,Western Asia
DE,DEU,Europe,Western Europe
GH,GHA,Africa,Sub-Saharan Africa
GI,GIB,Europe,Southern Europe
GR,GRC,Europe,Southern Europe
GL,GRL,Americas,Northern America
GD,GRD,Americas,Latin America and the Caribbean
GP,GLP,Americas,Latin America and the Caribbean
GU,GUM,Oceania,Micronesia
GT,GTM,Americas,Latin America and the Caribbean
GG,GGY,Europe,Northern Europe
GN,GIN,Africa,Sub-Saharan Africa
GW,GNB,Africa,Sub-Saharan Africa
GY,GUY,Americas,Latin America and the Caribbean
HT,HTI,Americas,Latin America and the Caribbean
HM,HMD,Oceania,Australia and New Zealand
VA,VAT,Europe,Southern Europe
HN,HND,Americas,Latin America and the Caribbean
HK,HKG,Asia,Eastern Asia
HU,HUN,Europe,Eastern Europe
IS,ISL,Europe,Northern Europe
IN,IND,Asia,Southern Asia
ID,IDN,Asia,South-eastern Asia
IR,IRN,Asia,Southern Asia
IQ,IRQ,Asia,Western Asia
IE,IRL,Europe,Northern Europe
IM,IMN,Europe,Northern Europe
IL,ISR,Asia,Western Asia
IT,ITA,Europe,Southern Europe
JM,JAM,Americas,Latin America and the Caribbean
JP,JPN,Asia,Eastern Asia
JE,JEY,Europe,Northern Europe
JO,JOR,Asia,Western Asia
KZ,KAZ,Asia,Central Asia
KE,KEN,Africa,Sub-Saharan Africa
KI,KIR,Oceania,Micronesia
KP,PRK,Asia,Eastern Asia
KR,KOR,Asia,Eastern Asia
KW,KWT,Asia,Western Asia
KG,KGZ,Asia,Central Asia
LA,LAO,Asia,South-eastern Asia
LV,LVA,Europe,Northern Europe
LB,LBN,Asia,Western Asia
LS,LSO,Africa,Sub-Saharan Africa
LR,LBR,Africa,Sub-Saharan Africa
LY,LBY,Africa,Northern Africa
LI,LIE,Europe,Western Europe
LT,LTU,Europe,Northern Europe
LU,LUX,Europe,Western Europe
MO,MAC,Asia,Eastern Asia
MG,MDG,Africa,Sub-Saharan Africa
MW,MWI,Africa,Sub-Saharan Africa
MY,MYS,Asia,South-eastern Asia
MV,MDV,Asia,Southern Asia
ML,MLI,Africa,Sub-Saharan Africa
MT,MLT,Europe,Southern Europe
MH,MHL,Oceania,Micronesia
MQ,MTQ,Americas,Latin America and the Caribbean
MR,MRT,Africa,Sub-Saharan Africa
MU,MUS,Africa,Sub-Saharan Africa
YT,MYT,Africa,Sub-Saharan Africa
MX,MEX,Americas,Latin America and the Caribbean
FM,FSM,Oceania,Micronesia
MD,MDA,Europe,Eastern Europe
MC,MCO,Europe,Western Europe
MN,MNG,Asia,Eastern Asia
ME,MNE,Europe,Southern Europe
MS,MSR,Americas,Latin America and the Caribbean
MA,MAR,Africa,Northern Africa
MZ,MOZ,Africa,Sub-Saharan Africa
MM,MMR,Asia,South-eastern Asia
NA,NAM,Africa,Sub-Saharan Africa
NR,NRU,Oceania,Micronesia
NP,NPL,Asia,Southern Asia
NL,NLD,Europe,Western Europe
NC,NCL,Oceania,Melanesia
NZ,NZL,Oceania,Australia and New Zealand
NI,NIC,Americas,Latin America and the Caribbean
NE,NER,Africa,Sub-Saharan Africa
NG,NGA,Africa,Sub-Saharan Africa
NU,NIU,Oceania,Polynesia
NF,NFK,Oceania,Australia and New Zealand
MK,MKD,Europe,Southern Europe
MP,MNP,Oceania,Micronesia
NO,NOR,Europe,Northern Europe
OM,OMN,Asia,Western Asia
PK,PAK,Asia,Southern Asia
PW,PLW,Oceania,Micronesia
PS,PSE,Asia,Western Asia
PA,PAN,Americas,Latin America and the Caribbean
PG,PNG,Oceania,Melanesia
PY,PRY,Americas,Latin America and the Caribbean
PE,PER,Americas,Latin America and the Caribbean
PH,PHL,Asia,South-eastern Asia
PN,PCN,Oceania,Polynesia
PL,POL,Europe,Eastern Europe
PT,PRT,Europe,Southern Europe
PR,PRI,Americas,Latin America and the Caribbean
QA,QAT,Asia,Western Asia
RE,REU,Africa,Sub-Saharan Africa
RO,ROU,Europe,Eastern Europe
RU,RUS,Europe,Eastern Europe
RW,RWA,Africa,Sub-Saharan Africa
BL,BLM,Americas,Latin America and the Caribbean
SH,SHN,Africa,Sub-Saharan Africa
KN,KNA,Americas,Latin America and the Caribbean
LC,LCA,Americas,Latin America and the Caribbean
MF,MAF,Americas,Latin America and the Caribbean
PM,SPM,Americas,Northern America
VC,VCT,Americas,Latin America and the Caribbean
WS,WSM,Oceania,Polynesia
SM,SMR,Europe,Southern Europe
ST,STP,Africa,Sub-Saharan Africa
SA,SAU,Asia,Western Asia
SN,SEN,Africa,Sub-Saharan Africa
RS,SRB,Europe,Southern Europe
SC,SYC,Africa,Sub-Saharan Africa
SL,SLE,Africa,Sub-Saharan Africa
SG,SGP,Asia,South-eastern Asia
SX,SXM,Americas,Latin America and the Caribbean
SK,SVK,Europe,Eastern Europe
SI,SVN,Europe,Southern Europe
SB,SLB,Oceania,Melanesia
SO,SOM,Africa,Sub-Saharan Africa
ZA,ZAF,Africa,Sub-Saharan Africa
GS,SGS,Americas,Latin America and the Caribbean
SS,SSD,Africa,Sub-Saharan Africa
ES,ESP,Europe,Southern Europe
LK,LKA,Asia,Southern Asia
SD,SDN,Africa,Northern Africa
SR,SUR,Americas,Latin America and the Caribbean
SJ,SJM,Europe,Northern Europe
SE,SWE,Europe,Northern Europe
CH,CHE,Europe,Western Europe
SY,SYR,Asia,Western Asia
TW,TWN,Asia,Eastern Asia
TJ,TJK,Asia,Central Asia
TZ,TZA,Africa,Sub-Saharan Africa
TH,THA,Asia,South-eastern Asia
TL,TLS,Asia,South-eastern Asia
TG,TGO,Africa,Sub-Saharan Africa
TK,TKL,Oceania,Polynesia
TO,TON,Oceania,Polynesia
TT,TTO,Americas,Latin America and the Caribbean
TN,TUN,Africa,Northern Africa
TR,TUR,Asia,Western Asia
TM,TKM,Asia,Central Asia
TC,TCA,Americas,Latin America and the Caribbean
TV,TUV,Oceania,Polynesia
UG,UGA,Africa,Sub-Saharan Africa
UA,UKR,Europe,Eastern Europe
AE,ARE,Asia,Western Asia
GB,GBR,Europe,Northern Europe
US,USA,Americas,Northern America
UM,UMI,Oceania,Micronesia
UY,URY,Americas,Latin America and the Caribbean
UZ,UZB,Asia,Central Asia
VU,VUT,Oceania,Melanesia
VE,VEN,Americas,Latin America and the Caribbean
VN,VNM,Asia,South-eastern Asia
VG,VGB,Americas,Latin America and the Caribbean
VI,VIR,Americas,Latin America and the Caribbean
WF,WLF,Oceania,Polynesia
EH,ESH,Africa,Northern Africa
YE,YEM,Asia,Western Asia
ZM,ZMB,Africa,Sub-Saharan Africa
ZW,ZWE,Africa,Sub-Saharan Africa
